content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content
Udah sering belanja trs tapi setiap pengajuan tidak lolos trs.. jadi males belanja. Uninstal aja,udah sering belanja trs tapi setiap pengajuan tidak lolos trs jadi males belanja uninstal aja,sudah sering belanja terus  tapi setiap pengajuan tidak lolos terus  jadi males belanja uninstal saja ,"['sudah', 'sering', 'belanja', 'terus', 'tapi', 'setiap', 'pengajuan', 'tidak', 'lolos', 'terus', 'jadi', 'males', 'belanja', 'uninstal', 'saja']","['sering', 'belanja', 'terus', 'pengajuan', 'tidak', 'lolos', 'terus', 'jadi', 'males', 'belanja', 'uninstal']"
Semenjak di upgrade.. SHOPEE JADI LEMOT,semenjak di upgrade shopee jadi lemot,semenjak di upgrade shopee jadi lemot,"['semenjak', 'di', 'upgrade', 'shopee', 'jadi', 'lemot']","['semenjak', 'upgrade', 'shopee', 'jadi', 'lemot']"
Penyelesaian masalah sangat buruk,penyelesaian masalah sangat buruk,penyelesaian masalah sangat buruk,"['penyelesaian', 'masalah', 'sangat', 'buruk']","['penyelesaian', 'masalah', 'sangat', 'buruk']"
Apk engga😇 jls,apk engga wajah malaikat jls,apk tidak  wajah malaikat jls,"['apk', 'tidak', 'wajah', 'malaikat', 'jls']","['apk', 'tidak', 'wajah', 'malaikat', 'jls']"
Lelet stress. Udah update terbaru tetap aja lemot,lelet stress udah update terbaru tetap aja lemot,lelet stress sudah update terbaru tetap saja  lemot,"['lelet', 'stress', 'sudah', 'update', 'terbaru', 'tetap', 'saja', 'lemot']","['lelet', 'stress', 'update', 'terbaru', 'tetap', 'lemot']"
Fitur lengkap tapi apk berat,fitur lengkap tapi apk berat,fitur lengkap tapi apk berat,"['fitur', 'lengkap', 'tapi', 'apk', 'berat']","['fitur', 'lengkap', 'apk', 'berat']"
Shopee express jasa pengiriman lelet sekali.nyesel pakai shopee express.. masa Jakarta Kalimantan barat lebih dari satu Minggu. Bobrok ni expedisi,shopee express jasa pengiriman lelet sekali nyesel pakai shopee express masa jakarta kalimantan barat lebih dari satu minggu bobrok ni expedisi,shopee express jasa pengiriman lelet sekali menyesal  pakai shopee express masa jakarta kalimantan barat lebih dari satu minggu bobrok ini  expedisi,"['shopee', 'express', 'jasa', 'pengiriman', 'lelet', 'sekali', 'menyesal', 'pakai', 'shopee', 'express', 'masa', 'jakarta', 'kalimantan', 'barat', 'lebih', 'dari', 'satu', 'minggu', 'bobrok', 'ini', 'expedisi']","['shopee', 'express', 'jasa', 'pengiriman', 'lelet', 'sekali', 'menyesal', 'pakai', 'shopee', 'express', 'masa', 'jakarta', 'kalimantan', 'barat', 'lebih', 'satu', 'minggu', 'bobrok', 'expedisi']"
"Bintang satu aja,,,, karena paylater ku d matikan pihak Shopee,, cuma telat berapa hari,,, dan yg penting d bayar juga kan,,, terimakasih",bintang satu aja karena paylater ku d matikan pihak shopee cuma telat berapa hari dan yg penting d bayar juga kan terimakasih,bintang satu saja  karena paylater ku d matikan pihak shopee cuma telat berapa hari dan yang  penting d bayar juga kan terimakasih,"['bintang', 'satu', 'saja', 'karena', 'paylater', 'ku', 'd', 'matikan', 'pihak', 'shopee', 'cuma', 'telat', 'berapa', 'hari', 'dan', 'yang', 'penting', 'd', 'bayar', 'juga', 'kan', 'terimakasih']","['bintang', 'satu', 'paylater', 'ku', 'd', 'matikan', 'pihak', 'shopee', 'cuma', 'telat', 'berapa', 'hari', 'penting', 'd', 'bayar', 'kan', 'terimakasih']"
Ga Kya dlu ada akun ff nya,ga kya dlu ada akun ff nya,tidak kya dulu  ada akun ff nya,"['tidak', 'kya', 'dulu', 'ada', 'akun', 'ff', 'nya']","['tidak', 'kya', 'dulu', 'akun', 'ff', 'nya']"
Aplikasi lemot,aplikasi lemot,aplikasi lemot,"['aplikasi', 'lemot']","['aplikasi', 'lemot']"
"Makin lemot saja nih koneksi shopeee, buka toko Merah sebelah aman aman aja",makin lemot saja nih koneksi shopeee buka toko merah sebelah aman aman aja,makin lemot saja nih koneksi shopeee buka toko merah sebelah aman aman saja ,"['makin', 'lemot', 'saja', 'nih', 'koneksi', 'shopeee', 'buka', 'toko', 'merah', 'sebelah', 'aman', 'aman', 'saja']","['makin', 'lemot', 'nih', 'koneksi', 'shopeee', 'buka', 'toko', 'merah', 'sebelah', 'aman', 'aman']"
Lemot banget sekarang.,lemot banget sekarang,lemot sekali  sekarang,"['lemot', 'sekali', 'sekarang']","['lemot', 'sekali', 'sekarang']"
